acct_names,numbers
Mike,459551.0135
Mike,837306.329
Mike,928550.9773
Mike,47078.94218
Mike,68880.64276
Mike,246127.306
Mike,750892.7754
Mike,343796.4218
Nyalla,744693.3906
Nyalla,532721.1891
Nyalla,731725.0883
Nyalla,820556.3019
Nyalla,886285.5327
Nyalla,295892.2184
Nyalla,37163.37727
Nyalla,978219.3336
Nyalla,12823.08996
Nyalla,425486.3842
Nyalla,121562.4595
Nyalla,112864.0464
Nyalla,339561.5346
Nyalla,492627.9117
Nyalla,784894.4301
Nyalla,166758.9825
Nyalla,867452.8417
Nyalla,92540.29533
Nyalla,129439.7486
Nyalla,301554.7737
Nyalla,364747.7604
Nyalla,847765.1305
Nyalla,475004.1445
Nyalla,191874.807
Nyalla,566257.8153
Nyalla,881681.0932
Nyalla,782271.2348
Nyalla,70692.52757
Nyalla,184249.0938
Nyalla,718110.8037
Nyalla,807483.8703
Nyalla,769287.8721
Nyalla,124378.0931
Nyalla,379860.2251
Nyalla,452350.5263
Nyalla,390098.541
Nyalla,591184.434
Nyalla,512695.8368
Nyalla,203101.0203
Nyalla,433952.4992
Nyalla,119890.1962
Nyalla,433432.8854
Nyalla,255074.2233
Nyalla,21061.71544
Nyalla,664611.9105
Nyalla,764013.0434
Nyalla,214875.6604
Nyalla,193992.2834
Nyalla,899391.8733
Nyalla,477092.6186
Nyalla,364492.2611
Nyalla,647653.4051
Nyalla,216510.2893
Nyalla,391486.2983
Nyalla,315806.9886
Nyalla,441994.9073
Nyalla,273916.3791
Nyalla,173521.2407
Nyalla,524395.8815
Nyalla,791491.2514
Nyalla,688883.4648
Nyalla,721058.0383
Nyalla,902781.9864
Nyalla,268651.4473
Nyalla,846653.1597
Nyalla,765027.1931
Nyalla,986078.6721
Nyalla,25545.97217
Nyalla,835159.3912
Nyalla,568719.8367
Kerry,226787.8084
Kerry,811903.1722
Kerry,748441.2228
Kerry,568003.9171
Kerry,413238.5363
Kerry,606163.9867
Kerry,398691.0607
Kerry,402653.5118
Kerry,623540.533
Kerry,248733.2639
Kerry,594909.2314
Kerry,690999.4315
Kerry,545372.1292
Kerry,140326.1703
Kerry,207027.6819
Kerry,385181.7718
Kerry,95988.03474
Kerry,408493.4921
Kerry,346743.3341
Kerry,348784.9832
Kerry,33924.10208
Kerry,979040.9943
Kerry,231630.5391
Kerry,241823.9771
Kerry,671792.726
Kerry,187324.9665
Kerry,127787.5893
Kerry,562455.4683
Kerry,44656.2327
Kerry,442730.5341
Kerry,869552.6246
Kerry,646155.6039
Kerry,440890.5255
Kerry,26763.03033
Kerry,355649.8098
Kerry,695109.5285
Kerry,459437.3191
Kerry,467999.4702
Kerry,65505.63779
Kerry,646788.8181
Kerry,565769.8058
Kerry,911066.8253
Kerry,273525.8518
Kerry,405548.8072
Kerry,316719.8605
Kerry,318263.9361
Kerry,717965.8455
Kerry,427614.874
Kerry,626728.1356
Kerry,346197.36
Kerry,247123.9562
Kerry,45625.94369
Kerry,149917.9781
Kerry,429312.4308
Kerry,364466.5824
Kerry,830882.0571
Kerry,751637.9748
Kerry,937798.2754
Kerry,876940.1181
Kerry,297212.6591
Kerry,73209.78888
Kerry,216543.4773
Kerry,308452.2136
Kerry,960593.5295
Kerry,563678.0343
Kerry,523164.2546
Kerry,514427.2819
Kerry,97926.33587
Kerry,554573.1168
Kerry,573067.8109
Craig,9871237.772
Craig,7908709.688
Craig,12450987.77
Craig,8274098.8
Craig,23475098.08
Craig,34277987.8
Craig,987340897.7
Craig,80809877.7
Craig,99284777.9
Craig,89837428799
Craig,980987567.7
Craig,29575439588
Craig,77878988
Craig,834576776
Craig,23460937
Craig,2304567
Craig,234435674
Craig,887777
Craig,465987.6897
Craig,984534.97
Craig,3457877
Craig,34543587
Craig,95831.72877
Craig,3345300
Craig,492356.6564
Craig,792054.1358
Craig,83459345877
Craig,77698345
Craig,3453499
Craig,9345999
Craig,34599292
Craig,34594359
Craig,8688847777
Craig,9868
Craig,7345788.776
Craig,9846057.09
Craig,244437.8238
Craig,35536.22239
Craig,463164.1135
Craig,394682.0043
Craig,151338.5214
Craig,690748.94
Craig,585986.2841
Craig,692462.6413
Craig,623321.3977
Craig,176680.0631
Craig,261324.5498
Craig,594701.1581
Craig,255153.4562
Craig,730328.8598
Craig,730348.201
Craig,176479.4867
Craig,358363.2533
Craig,608048.4849
Craig,711125.6525
Craig,734569.5398
Craig,190865.9788
Craig,767457.77
Craig,13993.56592
Craig,236840.0444
Craig,637405.6265
Craig,777.090989
Craig,750773.4552
Craig,425921.7181
Craig,856011.3753
Craig,762171.5623
Craig,345083.7662
Craig,252488.3975
Craig,775759257.8
Craig,621964.0586
